ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Swatches Attributes","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Atributo por defecto 1"
103,variation,,"TAZA VERONA - Azul",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,100,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-003-A.jpg,,,id:32,,,,,,2,,Color,Azul,,1,
104,variation,,"TAZA VERONA - Negro",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,100,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-003-N.jpg,,,id:32,,,,,,3,,Color,Negro,,1,
105,variation,,"TAZA VERONA - Rojo",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,100,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-003-R.jpg,,,id:32,,,,,,4,,Color,Rojo,,1,
106,variation,,"TAZA VERONA - Verde",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,100,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-003-V.jpg,,,id:32,,,,,,5,,Color,Verde,,1,
108,variable,"TAZ 019","TAZA KABBI",1,0,visible,"MATERIAL: Cerámica\nTAMAÑO: 8 x 9.5 cm\nCOLORES: Azul/Naranja/Rosa/Roja\nVerde/Amarilla\nCAPACIDAD: 11 Oz","MATERIAL: Cerámica\nTAMAÑO: 8 x 9.5 cm\nCOLORES: Azul/Naranja/Rosa/Roja\nVerde/Amarilla\nCAPACIDAD: 11 Oz",,,none,,1,,,0,0,,,,,1,,,,"TAZA CERÁMICA","Cerámica, Taza",,"https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/taz-019_c-1.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-A.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-P.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-R.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-V.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-Y.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Amarillo"":{""name"":""Amarillo"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Azul"":{""name"":""Azul"",""color"":""#23509e"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Rojo"":{""name"":""Rojo"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Rosa"":{""name"":""Rosa"",""color"":""#e00f87"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Verde"":{""name"":""Verde"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Amarillo, Azul, Rojo, Rosa, Verde",1,1,
109,variation,,"TAZA KABBI",1,0,visible,,,,,none,parent,1,,,0,0,,,,,0,,,,,,,,,,"TAZ 019",,,,,,1,,Color,,,1,
110,variation,,"TAZA KABBI - Amarillo",1,0,visible,,,,,none,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-Y.jpg,,,"TAZ 019",,,,,,2,,Color,Amarillo,,1,
111,variation,,"TAZA KABBI - Azul",1,0,visible,,,,,none,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-A.jpg,,,"TAZ 019",,,,,,3,,Color,Azul,,1,
112,variation,,"TAZA KABBI - Rojo",1,0,visible,,,,,none,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-R.jpg,,,"TAZ 019",,,,,,4,,Color,Rojo,,1,
113,variation,,"TAZA KABBI - Rosa",1,0,visible,,,,,none,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-P.jpg,,,"TAZ 019",,,,,,5,,Color,Rosa,,1,
114,variation,,"TAZA KABBI - Verde",1,0,visible,,,,,none,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-019-V.jpg,,,"TAZ 019",,,,,,6,,Color,Verde,,1,
123,variable,"TAZ 001","TAZA ESPIRIT",1,0,visible,"Material: Cerámica\nMedida: 8 x 9.5 cm\nCapacidad: 11 Oz","Material: Cerámica\nMedida: 8 x 9.5 cm\nCapacidad: 11 Oz",,,taxable,,backorder,,,0,0,,,,,1,,,,"TAZA CERÁMICA","Cerámica, Taza",,"https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/taz-001.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-A.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-AR_1.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-B.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-N.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-O.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-R.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-V.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Azul"":{""name"":""Azul"",""color"":""#23509e"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Azul Rey"":{""name"":""Azul Rey"",""color"":""#0038e0"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Blanco"":{""name"":""Blanco"",""color"":""#ffffff"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Naranja"":{""name"":""Naranja"",""color"":""#dd9933"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Negro"":{""name"":""Negro"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Rojo"":{""name"":""Rojo"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Verde"":{""name"":""Verde"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Azul, Azul Rey, Blanco, Naranja, Negro, Rojo, Verde",1,1,
133,variation,"TAZ 001 A","TAZA ESPIRIT - Azul",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-A.jpg,,,"TAZ 001",,,,,,2,,Color,Azul,,1,
134,variation,"TAZ 001 AR","TAZA ESPIRIT - Azul Rey",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-AR_1.jpg,,,"TAZ 001",,,,,,3,,Color,"Azul Rey",,1,
135,variation,"TAZ 001 B","TAZA ESPIRIT - Blanco",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-B.jpg,,,"TAZ 001",,,,,,4,,Color,Blanco,,1,
136,variation,"TAZ 001 NA","TAZA ESPIRIT - Naranja",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-O.jpg,,,"TAZ 001",,,,,,5,,Color,Naranja,,1,
137,variation,"TAZ 001 N","TAZA ESPIRIT - Negro",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-N.jpg,,,"TAZ 001",,,,,,6,,Color,Negro,,1,
138,variation,"TAZ 001 R","TAZA ESPIRIT - Rojo",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-R.jpg,,,"TAZ 001",,,,,,7,,Color,Rojo,,1,
139,variation,"TAZ 001 V","TAZA ESPIRIT - Verde",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-001-V.jpg,,,"TAZ 001",,,,,,8,,Color,Verde,,1,
141,variable,"TAZ 007","VASO VENETTA",1,0,visible,"<strong>Material:</strong> Cerámica / Silicón\n<strong>Medida:</strong> 8.7 x 17.5 cm\n<strong>Capacidad:</strong> 410 ml","<strong>Material:</strong> Cerámica / Silicón\n<strong>Medida:</strong> 8.7 x 17.5 cm\n<strong>Capacidad:</strong> 410 ml",,,taxable,,backorder,0,,1,0,,,,,1,,,,"TAZA CERÁMICA","Cerámica, Silicón, Taza",,"https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/taz-007_c.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-007-A.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-007-N.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-007-O.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Azul"":{""name"":""Azul"",""color"":""#23509e"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Naranja"":{""name"":""Naranja"",""color"":""#dd9933"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Negro"":{""name"":""Negro"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Azul, Naranja, Negro",1,1,
146,variation,,"VASO VENETTA",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,,,,,,,,"TAZ 007",,,,,,1,,Color,,,1,
147,variation,"TAZ 007 A","VASO VENETTA - Azul",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-007-A.jpg,,,"TAZ 007",,,,,,2,,Color,Azul,,1,
148,variation,"TAZ 007 NA","VASO VENETTA - Naranja",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-007-O.jpg,,,"TAZ 007",,,,,,3,,Color,Naranja,,1,
149,variation,"TAZ 007 N","VASO VENETTA - Negro",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-007-N.jpg,,,"TAZ 007",,,,,,4,,Color,Negro,,1,
151,variable,"TAZ 032","TAZA AMPAT",1,0,visible,"<strong>Material:</strong> Cerámica\n<strong>Medida:</strong> 8 x 12 cm\n<strong>Capacidad:</strong> 13 Oz","<strong>Material:</strong> Cerámica\n<strong>Medida:</strong> 8 x 12 cm\n<strong>Capacidad:</strong> 13 Oz",,,taxable,,backorder,,,0,0,,,,,1,,,,"TAZA, TAZA CERÁMICA","Cerámica, Taza",,"https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/taz-032_c.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-032-A.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-032-O.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-032-V.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Azul"":{""name"":""Azul"",""color"":""#23509e"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Naranja"":{""name"":""Naranja"",""color"":""#dd9933"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Verde"":{""name"":""Verde"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Azul, Naranja, Verde",1,1,
152,variation,"TAZ 032 A","TAZA AMPAT - Azul",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-032-A.jpg,,,"TAZ 032",,,,,,1,,Color,Azul,,1,
153,variation,"TAZ 032 NA","TAZA AMPAT - Naranja",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-032-O.jpg,,,"TAZ 032",,,,,,2,,Color,Naranja,,1,
154,variation,"TAZ 032 V","TAZA AMPAT - Verde",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-032-V.jpg,,,"TAZ 032",,,,,,3,,Color,Verde,,1,
160,variable,"TAZ 031","TAZA FIORLAND",1,0,visible,"<strong>Material:</strong> Cerámica / Bambú\n<strong>Medida:</strong> 10 x 11 cm\n<strong>Capacidad:</strong> 16 Oz","<strong>Material:</strong> Cerámica / Bambú\n<strong>Medida:</strong> 10 x 11 cm\n<strong>Capacidad:</strong> 16 Oz",,,taxable,,backorder,,,0,0,,,,,1,,,,"TAZA CERÁMICA","Bambú, Cerámica, Taza",,"https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-031_1.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-031-B.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-031-N.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blanco"":{""name"":""Blanco"",""color"":""#ffffff"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Negro"":{""name"":""Negro"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blanco, Negro",1,1,
161,variation,"TAZ 031 B","TAZA FIORLAND - Blanco",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-031-B.jpg,,,"TAZ 031",,,,,,1,,Color,Blanco,,1,
162,variation,"TAZ 031 N","TAZA FIORLAND - Negro",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-031-N.jpg,,,"TAZ 031",,,,,,2,,Color,Negro,,1,
167,variable,"TAZ 028","TAZA MORTERATSCH",1,0,visible,"<strong>Material:</strong> Porcelana\n<strong>Medida:</strong> 9 x 9.5 cm\n<strong>Capacidad:</strong> 13 Oz","<strong>Material:</strong> Porcelana\n<strong>Medida:</strong> 9 x 9.5 cm\n<strong>Capacidad:</strong> 13 Oz",,,taxable,,backorder,,,0,0,,,,,1,,,,"TAZA PORCELANA","Porcelana, Taza",,"https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-028_1.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-028-B.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-028-G.jpg, https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-028-N.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blanco"":{""name"":""Blanco"",""color"":""#ffffff"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gris"":{""name"":""Gris"",""color"":""#8c8c8c"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Negro"":{""name"":""Negro"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blanco, Gris, Negro",1,1,
173,variation,"TAZ 028 B","TAZA MORTERATSCH - Blanco",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-028-B.jpg,,,"TAZ 028",,,,,,1,,Color,Blanco,,1,
174,variation,"TAZ 028 G","TAZA MORTERATSCH - Gris",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-028-G.jpg,,,"TAZ 028",,,,,,2,,Color,Gris,,1,
175,variation,"TAZ 028 N","TAZA MORTERATSCH - Negro",1,0,visible,,,,,taxable,parent,backorder,,,0,0,,,,,0,,,200,,,,https://www.publicidadnuevavision.com.mx/wp-content/uploads/2021/02/TAZ-028-N.jpg,,,"TAZ 028",,,,,,3,,Color,Negro,,1,
